Date,Trial Number,Rat Number,Object 1 ,Object 2,Frames1,Frames2,DiscriminationScore1,DiscriminationScore2,Notes,,,,,,,,,,,Objects,Discrimination Scores
7/4/2024,0,r1423,green jar,gnome,613,685,,,Rat seems to be equally interested in both objects,,,,,,,,,,,Gnome,0.4088974855
7/4/2024,1,r1423,blue jar,clear jar,,,,,Tracking failed. Replaced the blue jar with upside-down flower,,,,,,,,,,,Gnome,0.5190947666
7/4/2024,2,r1423,purple jar,wide jar,541,612,,,Rat seems to be equally interested in both objects,,,,,,,,,,,Gnome,0.5798371947
7/4/2024,0,r1421,flower,clear jar,910,753,,,Rat seems to be slightly more interested in the clear jar.,,,,,,,,,,,Gnome,0.6498465735
7/4/2024,1,r1421,purple jar,wide jar,1307,484,,,Rat seems to be slightly more interested in the purple jar,,,,,,,,,,,Green Jar,0.5911025145
7/4/2024,2,r1421,green jar,gnome,696,314,,,Rat seems to be significantly more interested in the gnome.,,,,,,,,,,,Green Jar,0.742206235
7/4/2024,0,r1451,purple jar,wide jar,838,919,,,Rat seems to be more interested in the wide jar,,,,,,,,,,,Green Jar,0.4004127967
7/4/2024,1,r1451,green jar,gnome,184,963,,,Some grooming occurred around the gnome and the rat seems to be significantly more interested in the gnome,,,,,,,,,,,Green Jar,0.8040275049
7/4/2024,2,r1451,flower,clear jar,803,441,,,The rat seems to be equally interested in both objects. Tracking was a little bit interrupted when the rat rears at the right corner (since the head is lost there),,,,,,,,,,,Seltzer Can,0.264469793
7/4/2024,0,r1452,green jar,gnome,1296,1249,,,The rat seems to be equally interested in both objects. Tracking was a little bit interrupted when the rat rears at the right corner (since the head is lost there),,,,,,,,,,,Seltzer Can,0.257793765
7/4/2024,1,r1452,purple jar,wide jar,970,551,,,"The rat shows equal amount of interest in both objects, although the rat did not seem to be very interested in either objects",,,,,,,,,,,Seltzer Can,0.5707578806
7/4/2024,2,r1452,flower,clear jar,824,436,,,The rat does not seem to be interested in either objects.,,,,,,,,,,,Seltzer Can,0.3520833333
7/9/2024,3,r1421,seltzer can,dry shampoo,340,930,,,We accidentally exposed the rat to the objects but then had to take her out because the convert color is not working. The rat seems to be interested in the dry shampoo,,,,,,,,,,,Wide Jar,0.735530207
7/9/2024,3,r1423,seltzer can,dry shampoo,289,1338,,,The rat seems to be more interested in the dry shampoo.,,,,,,,,,,,Wide Jar,0.4292421194
7/9/2024,4,r1451,dry shampoo,seltzer can,385,325,,,The rat seems to be more interested in the can.,,,,,,,,,,,Wide Jar,0.5429787234
7/9/2024,4,r1452,dry shampoo,seltzer can ,,548,,,"Do not include time after the rat tipped the dry shampoo. The dry shampoo is too light and it is hard to stick onto the floor. Don't include the dry shampoo for this trial, only the seltzer can.",,,,,,,,,,,Wide Jar,0.6479166667
7/26/2024,0,r1574,gnome,green jar,1057,1528,0.4088974855,0.5911025145,NA,,,,,,,,,,,Purple Jar,0.828042328
7/26/2024,1,r1574,seltzer can,wide jar,626,1741,0.264469793,0.735530207,NA,,,,,,,,,,,Purple Jar,0.4570212766
7/26/2024,2,r1574,purple jar,candle,2191,455,0.828042328,0.171957672,The rat seems to be much more interested in the purple jar.,,,,,,,,,,,Purple Jar,0.5995872033
7/26/2024,0,r1575,purple jar,wide jar,1074,1276,0.4570212766,0.5429787234,NA,,,,,,,,,,,Purple Jar,0.3501534265
7/26/2024,1,r1575,green jar,seltzer can,1238,430,0.742206235,0.257793765,Might be a position preference at the corner at position 1.,,,,,,,,,,,Candle,0.171957672
7/26/2024,2,r1575,candle,gnome,680,734,0.4809052334,0.5190947666,NA,,,,,,,,,,,Candle,0.4809052334
7/26/2024,0,r1576,wide jar,seltzer can ,640,851,0.4292421194,0.5707578806,This rat has a big black spot on her back and the tracking jumps between her head and the back spot.,,,,,,,,,,,Candle,0.4201628053
7/26/2024,1,r1576,gnome,candle,926,671,0.5798371947,0.4201628053,NA,,,,,,,,,,,Candle,0.1959724951
7/26/2024,2,r1576,green jar,purple jar,776,1162,0.4004127967,0.5995872033,NA,,,,,,,,,,,,
7/26/2024,0,r1577,candle,green jar,399,1637,0.1959724951,0.8040275049,NA,,,,,,,,,,,,
7/26/2024,1,r1577,purple jar,gnome,1027,1906,0.3501534265,0.6498465735,The rat climbed onto the gnome very briefly. The rat eventually climbed and held onto the the purple jar too.,,,,,,,,,,,,
7/26/2024,2,r1577,seltzer can,wide jar,676,1244,0.3520833333,0.6479166667,NA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maybe use discrimination score instead to analyze the data.,,,,,,,,,,,,
